id,material_name,product_family,priority,target_application,reason_for_request,needed_parameters
312,Pepper Black Oleoresin 1003,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
313,Pepper Black Oleoresin 1004,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
314,Pepper Black Oleoresin 1005,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
315,Pepper Black Oleoresin 1006,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
316,Pepper Black Oleoresin 1007,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
317,Pepper Black Oleoresin 1008,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
318,Pepper Black Oleoresin 1009,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
319,Pepper Black Oleoresin 1010,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
320,Pepper Black Oleoresin 1011,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
321,Pepper Black Oleoresin 1012,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
322,Pepper Black Oleoresin 1013,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
323,Pepper Black Oleoresin 1014,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
324,Pepper Black Oleoresin 1015,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
325,Pepper Black Oleoresin 1016,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
326,Pepper Black Oleoresin 1017,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
327,Pepper Black Oleoresin 1018,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
328,Pepper Black Oleoresin 1019,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
329,Pepper Black Oleoresin 1020,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
330,Pepper Black Oleoresin 1021,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
331,Pepper Black Oleoresin 1022,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
332,Pepper Black Oleoresin 1023,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
333,Pepper Black Oleoresin 1024,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
334,Pepper Black Oleoresin 1025,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
335,Pepper Black Oleoresin 1026,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
336,Pepper Black Oleoresin 1027,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
337,Pepper Black Oleoresin 1028,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
338,Pepper Black Oleoresin 1029,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
339,Pepper Black Oleoresin 1030,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
340,Pepper Black Oleoresin 1031,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
341,Pepper Black Oleoresin 1032,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
342,Pepper Black Oleoresin 40/20,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
343,Potassium Citrate-25kg,Potassium Citrate-25kg,Urgent (No TDS in Family),Food Processing - Acidity Regulator & Buffer,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
344,Potassium Sorbate Granular-25kg,Potassium Sorbate,Urgent (No TDS in Family),Food Preservation - Acidic Products (pH < 4.5),Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
345,Potassium Sorbate Powder-25kg,Potassium Sorbate,Urgent (No TDS in Family),Food Preservation - Acidic Products (pH < 4.5),Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
346,Smoked casing - 23E*84,Cellulose Casings,High (Commercial Variant),Savory - Processed Meat & Sausage Casings,Sibling (Cellulose casing - 23E*84) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
347,Sodium Acid Pyrophosphate (SAPP28)-25kg,Sodium Acid Pyrophosphate (SAPP28)-25kg,Urgent (No TDS in Family),Food Processing - Phosphate Functional Systems,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
348,Sodium Ascorbate China,Sodium Ascorbate China,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
349,Sodium Benzoate China-25kg,Sodium Benzoate,Urgent (No TDS in Family),Food Preservation - Acidic Products (pH < 4.5),Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
350,Sodium Benzoate Wuhan-25kg,Sodium Benzoate,Urgent (No TDS in Family),Food Preservation - Acidic Products (pH < 4.5),Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
351,Sodium Citrate-25kg,Sodium Citrate-25kg,Urgent (No TDS in Family),Food Processing - Acidity Regulator & Buffer,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
352,Sodium Diacetate-25kg,Sodium Diacetate-25kg,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
353,Sodium Erythorbate China-25kg,Sodium Erythorbate China-25kg,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
354,Sodium Hexametaphosphate (SHMP)-25kg,Sodium Hexametaphosphate (SHMP)-25kg,Urgent (No TDS in Family),Food Processing - Phosphate Functional Systems,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
355,Sodium Lactate-25kg,Sodium Lactate-25kg,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
356,Sodium Metabisulfite-25kg,Sodium Metabisulfite-25kg,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
357,Sodium Tripolyphosphate (STPP)-25kg,STPP Phosphates,Urgent (No TDS in Family),Food Processing - Phosphate Functional Systems,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
358,Soya Protein Concentrate 70%,Soya Proteins & TVP,High (Commercial Variant),Savory & Nutrition - Protein Fortification & Emulsification,Sibling (TVP Soya Local) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
359,Soya Protein Isolate 90%,Soya Proteins & TVP,High (Commercial Variant),Savory & Nutrition - Protein Fortification & Emulsification,Sibling (TVP Soya Local) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
360,Soya Protein Isolate 90% (Gelling),Soya Proteins & TVP,High (Commercial Variant),Savory & Nutrition - Protein Fortification & Emulsification,Sibling (TVP Soya Local) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
361,Soya Protein Isolate 90% (Injection),Soya Proteins & TVP,High (Commercial Variant),Savory & Nutrition - Protein Fortification & Emulsification,Sibling (TVP Soya Local) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
362,Sunset Yellow,Sunset Yellow,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
363,Textra P 103 25 kg,Textra / Revastab Meat & Gelling Blends,High (Commercial Variant),Savory & Meat - Yield & Texture Systems,Sibling (Ingreva RevaStab MC100) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
364,TEXTRA P 104 25 kg,Textra / Revastab Meat & Gelling Blends,High (Commercial Variant),Savory & Meat - Yield & Texture Systems,Sibling (Ingreva RevaStab MC100) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
365,Textra P100,Textra / Revastab Meat & Gelling Blends,High (Commercial Variant),Savory & Meat - Yield & Texture Systems,Sibling (Ingreva RevaStab MC100) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
366,Textra P100 25 kg,Textra / Revastab Meat & Gelling Blends,High (Commercial Variant),Savory & Meat - Yield & Texture Systems,Sibling (Ingreva RevaStab MC100) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
367,Transglutaminase (TG),Transglutaminase (TG),Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
368,TVP Soya Local - S,Soya Proteins & TVP,High (Commercial Variant),Savory & Nutrition - Protein Fortification & Emulsification,Sibling (TVP Soya Local) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
369,Vegatable Carbon Black,Vegatable Carbon Black,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
370,Whey Protein Concentrate 80% (WPC 80),Whey Protein Concentrate 80% (WPC 80),Urgent (No TDS in Family),Savory & Nutrition - Protein Fortification & Emulsification,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
371,Xanthan Gum (200 Mesh),Xanthan Gum,Urgent (No TDS in Family),Sauces & Dressings - Rheology & Viscosity Control,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
372,Xanthan Gum (80 Mesh),Xanthan Gum,Urgent (No TDS in Family),Sauces & Dressings - Rheology & Viscosity Control,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
373,Xanthan Gum Clear,Xanthan Gum,Urgent (No TDS in Family),Sauces & Dressings - Rheology & Viscosity Control,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
374,Xanthan Gum F80,Xanthan Gum,Urgent (No TDS in Family),Sauces & Dressings - Rheology & Viscosity Control,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
