id,filename,application,type,company,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description,brand,audit,recommendation
103,Textra Feta 152.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers & Emulsifier,AWA Food Solutions,0.4 – 0.5% depending on protein amount,2 years from date of production,moisture: Max. 8%; viscosity: Min 40 cPs; pH: 6 : 7.5,Emulsifiers E471; Guar gum E412; Arabic gum E414; Salt,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,,"Blend of Food Grade Stabilizers & Emulsifier, used in low protein feta cheese.",AWA Food Solutions,,
104,Textra Feta 341.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers & Emulsifier,AWA Food Solutions,0.3 – 0.5% depending on protein amount,2 years from date of production,moisture: Max. 8%; viscosity: Min 40 cPs; pH: 6 : 7.5,Carrageenan E407; Guar gum E412; Emulsifiers E471; Arabic gum E414; Modified Potato E1422; Tara gum E417; Salt,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Powder form,"Blend of Food Grade Stabilizers & Emulsifier, used in low protein feta cheese.",AWA Food Solutions,,
105,Textra Feta 400.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers & Emulsifier,AWA Food Solutions,0.3 – 0.5% depending on protein content,2 years from date of production,moisture: Ma x. 8%; pH: 10-12; total plate count: Ma x. 5000 cfu/g; yeast and mold: Ma x 500. cfu/g; coliform: < 10 cfu/g; ecoli: Absent,Carrageenan E407; Guar Gum E412; Emulsifiers E471; Arabic gum E414; Modified Potato starch E1422; Salt,Paper sacks with polyethylene liner 25kg,Store in a dry place away from heat and humidity,None declared,Creamy to white powder,"Blend of Food Grade Stabilizers & Emulsifier, used in low protein Feta cheese.",AWA Food Solutions,,
106,Textra MA243.pdf,Savory - Seasoning,Modified Starch,AWA Food Solutions,0.04 – 0.05%,24 months,Loss on drying: Not more than 14%,"Carrageenan E407, Dextrose E1200, Mono- and diglycerides of fatty acids E471, Xanthan gum E415","Heavy duty bags, 25 kg",Store in a dry place away from direct sunlight,None declared,"Powder, Off white","Modified Starch, used in uHT foam milk.",AWA Food Solutions,,
107,Textra MS 4060.pdf,Dairy - Cheese,Modified Starch,AWA Food Solutions,0.25%,2 years,moisture: Max. 8%; ash: Max. 5%; total plate count: Max. 1000 cfu/g; total yeasts and molds count: Max. 500 cfu/g; coliform: <10 cfu/g; e coli: Absent,"Carbohydrates, Mono- and diglycerides E472","Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity,None declared,Powder form,"Modified Starch, used in mozzarella Processed cheese.",AWA Food Solutions,,
108,Textra MS Pro.pdf,Savory - Seasoning,Modified Starch,AWA Food Solutions,0.5%,2 years,moisture: Max. 9%; ash: Max. 30%; viscosity: Min. 100 cPs,CMC E466; Sodium Alginate E401; Carrageenan E407,"Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity,None declared,White powder,"Modified Starch, used in mozzarella Analogue in (low and medium protein).",AWA Food Solutions,,
109,Textra ND203.pdf,Dairy - Dairy & Creamers,Food-Grade Emulsifiers and Stabilizers,AWA Food Solutions,1.9 – 2%,12 months,appearance: Fine powder; color: Off white to yellowish powder; moisture: Ma x. 6%,Lactic acid esters of mono- and diglycerides of E472b; fatty acids; Microcrystalline cellulose E460i; Di Potassium phosphate E340; Tri Sodium phosphate E339; Sodium stearate E470a; Mono and diglycerides E471,Paper sacks with polyethylene liner 25 Kg.,Under conditions not exceeding 20 °C and 80% R.H.,None declared,Fine powder,"Food-Grade Emulsifiers and Stabilizers manufactured by Textra, used in pasteurized and UHT non-dairy whipping cream.",AWA Food Solutions,,
110,Textra P 105.pdf,Dairy - Cheese,Carrageenan,AWA Food Solutions,0.2 – 0.5%,24 months from production date,moisture content: Max. 10%; total plate count: Max. 1000 cfu/g; yeast and mold: Max. 500 cfu/g; coliform: <10 cfu/g; e coli: Absent,Carrageenan E-407,"Heavy duty bags, 25 kg",Stored in dry place away from direct sunlight,None declared,Powder form,"Carrageenan, used in processed cheese; Meat.",AWA Food Solutions,,
111,Textra P 106.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers and Emulsifiers,AWA Food Solutions,0.2%-0.6%,24 months from production date,moisture: 5-8.5%; viscosity: 350-500 cP,Carrageenan E-407; Xanthan Gum E-415; Emulsifier E-471,"Heavy duty bags, 25 kg s.code: 80034",Stored in dry place away from direct sunlight,None declared,,"Blend of Food Grade Stabilizers and Emulsifiers, used in spreadable Processed cheese.",AWA Food Solutions,,
112,Textra P 108 AH.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers,AWA Food Solutions,0.1%-0.5%,24 months from production date,moisture: Max 10%; viscosity: Min 350 cP; pH: 6 – 8.5,Modified Starch E-1422; Xanthan Gum E-415; Emulsifier E-471; Carrageenan E-407,"Heavy duty bags, 25 kg s.code: 80142",Stored in dry place away from direct sunlight,None declared,,"Blend of Food Grade Stabilizers, used in spreadable Processed cheese.",AWA Food Solutions,,
113,Textra P 125.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers,AWA Food Solutions,0.1 – 0.2%,24 months from production date,"Loss on drying Max. 15%, pH 6.5 – 7.5",Carrageenan E-407; Xanthan Gum E-415; Trisodium phosphate; Locust Bean gum,"Heavy duty bags, 25 kg","Away from aromatic products, Under conditions not exceeding 25 °C and 70% atmospheric humidity",None declared,Creamy to white powder,"Blend of Food Grade Stabilizers manufactured by Awa Foodsolutions, used in spreadable processed cheese.",AWA Food Solutions,,
114,Textra P 204.pdf,Dairy - Cheese,Gelling System,AWA Food Solutions,0.8 – 2%,24 months from production date,moisture: Max. 12%; viscosity: Min 30 cP; ash: Max 5%,Maltodextrin; Cellulose gum E466; Carrageenan E407; Sodium alginate E401; Locust bean gum E410,"Heavy duty bags, 25 kg",Should be stored under cool and dry conditions in unopened bags,,Off-white to yellowish powder,"Gelling System manufactured by Awa Foodsolutions, used in spreadable processed cheese.",AWA Food Solutions,,
115,Textra P104.pdf,Savory - Seasoning,Carrageenan,AWA Food Solutions,0.05 - 0.10%,2 years,pH: 6.50 - 7.50; moisture: Max. 14%; water viscosity: Min. 10 mPas; water gel strength: Min. 30 gf; potassium gel strength: 60 - 190 gf,Carrageenan E 407a,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Creamy – white powder,"Carrageenan, used in dairy Products; Chocolate Milk; Flans; Custards.",AWA Food Solutions,,
116,Textra P105K.PDF,Dairy - Cheese,Food Grade Carrageenan,AWA Food Solutions,0.2 – 0.5%,2 years from date of production,moisture: Max. 10%; pH: 7-11; gel strength: Min 230 gf,"Carrageenan E407, Dextrose, Potassium Chloride E508","Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Powder form,"Food Grade Carrageenan, used in processed cheese, Meat.",AWA Food Solutions,,
117,Textra P106 R.PDF,Dairy - Cheese,"Modified Starch, Emulsifier, Carrageenan",AWA Food Solutions,0.08 – 0.15%,2 years,"appearance: Creamy to white powder; odor: Neutral; moisture: Max. 12%; viscosity: Min. 300 cPs (LV, 50rpm, L2, at 25˚C)","Carrageenan E407, Xanthan Gum E415, Emulsifier E471","Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity,,Creamy to white powder,"Modified Starch, Emulsifier, Carrageenan, used in meat products, cheese.",AWA Food Solutions,,
118,Textra P106 X.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers and Emulsifiers,AWA Food Solutions,0.2 - 0.6%,2 years,moisture: 5 : 8.5%; viscosity: 500 cPs (at 25˚C),Carrageenan E407; Xanthan Gum E415; Trisodium citrate E331,"Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity,None declared,,"Blend of Food Grade Stabilizers and Emulsifiers, used in processed cheese.",AWA Food Solutions,,
119,Textra P53.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers,AWA Food Solutions,0.5 – 0.8%,2 years,appearance: Creamy to White Powder; odor: Neutral; moisture: Max. 10%; viscosity: Min. 30 cPs (1% solution),Carrageenan E407; Xanthan Gum E415; Emulsifier E471,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Creamy to white powder,"Blend of Food Grade Stabilizers, used in spreadable processed cheese.",AWA Food Solutions,,
120,Textra T 13-.pdf,Bakery & snacks - Cake & Pastry,Modified Starch,AWA Food Solutions,2.00 – 2.50%,24 months from production date,Loss on drying: Max. 18%; pH (1% aqueous solution): 6-8,"Native Starch, Tricalcium Phosphate",25 kg Heavy duty bags,"Cool and dry conditions, Away from aromatic products",None declared,Creamy to white powder,"Modified Starch manufactured by Awa Foodsolutions, used in meat products, cheese, bakery.",AWA Food Solutions,,
121,Textra TP 100.pdf,Savory - Seasoning,Unique Filler of Natural Ingredients,AWA Food Solutions,"Replace 3kg of 36 Brix tomato paste with 1kg of Textra TP 100+2kg water, or 6-15% of tomato paste or 10% of tomato sauce",2 years from date of production,Moisture: Max 10%; Protein: Max 12%; Total Plate Count: Max. 1000 cfu/g; Total Yeasts and Molds Count: Max. 500 cfu/g; Coliform: <10 cfu/g; E. coli: Absent,Vegetable Origin Fibers,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,Contains: Soybeans,,"Unique Filler of Natural Ingredients, used in tomato Sauce, Ketchup.",AWA Food Solutions,,
122,Textra Talaga 1000.pdf,Dairy - Cheese,Blend of Food Grade Stabilizers & Emulsifier,AWA Food Solutions,0.3 -0.5% depending on protein,2 years from date of production,moisture: Max.8%; pH: 6 : 7,Mono and diglyceride E471; Guar Gum E412; MCC E460; Salt,Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity.,None declared,Creamy to white powder,"Blend of Food Grade Stabilizers & Emulsifier, used in white cheese.",AWA Food Solutions,,
123,Valiren 2400 Granular SPECIFICATION v3.pdf,Savory - Seasoning,Modified Starch,AWA Food Additives,7-11 gram per 1000 litres of milk,3 years under storage conditions,Activity: ≥ 2400 IMCU/g; Heavy metals: < = 30 ppm; Lead: < = 5 ppm; Arsenic: < = 3 ppm; Mercury: < = 0.5 ppm; Cadmium: < = 0.5 ppm,"Microbial Rennet derived from Rhizomucor miehei (milk clotting protease enzyme), sodium chloride, sodium benzoate","Food Grade HDPE, available in various different packaging starting from 0.5 kg to 50 kg","Sealed containers under cool, Dry conditions to minimize the loss of activity. Shelf life can be extended by storing under refrigeration at 5°C.",None declared,Brownish granular,"Modified Starch, used in enzyme use levels are generally dictated by processing conditions, milk composition, and CaCl concentration. In general, 7-11 gram of Valiren 2400 Granular is used per 1000 litres of milk, but laboratory or pilot scale tests should be run to optimize dose levels.",Mayasan Biotech,,
124,Vanillia-01.pdf,Bakery & snacks - Cake & Pastry,Modified Starch,AWA Food Additives,0.1 – 0.5% according also to desired flavor intensity and application,2 years from date of production,moisture: 9% Max.; total plate count: Max. 1000 cfu/g; yeast and mold: Max. 500 cfu/g; coliform: <10 cfu/g; e coli: Absent,Vanilla; Monosaccharides,Paper sacks with polyethylene liner,Store in a dry place away from heat and humidity,None declared,,"Modified Starch, used in cakes; Beverages; Confectionery; Chocolates; Bakery; Ice Cream.",AWA Food Solutions,,
125,textra w 138.pdf,Dairy - Cheese,"Modified Starch, Emulsifier, Carrageenan",AWA Food Solutions,0.1% (1kg/ton),24 months from production date,moisture: Max 5%; viscosity: Min 10cP at 25°C,Salt; Emulsifiers E471; Gelatin E441; Disodium phosphate E339; Guar Gum E412; Carrageenan E407,"Paper sacks with polyethylene liner, 25kg",Stored in dry place away from direct sunlight,None declared,,"Modified Starch, Emulsifier, Carrageenan, used in cutting soft white cheese.",AWA Food Solutions,,
126,Solvarin ACAD-B spec.EN.pdf,Savory - Meat; Dairy - Cheese,Acetylated Adipan of Potato Starch E 1422,AWA Food Additives,,24 months from production date,"Dry matter min 80.0%, pH 5.5-7.5","potato starch (food grade), acetylated adipan and esterifyed acetanhydrid","multi layer paper sacks, 20 or 25 kg",Unopened package stored in dry and clean place without presence of material which odour could adversaly influence the product,None declared,"Mild powder, Slightly yellowish. Clean, Without odour or taste.","Acetylated Adipan of Potato Starch E 1422 manufactured by Škrobárny Pelhřimov, a.s, used in cheese production/industry.","Škrobárny Pelhřimov, a.s",,
127,OLEORESIN PAPRIKA (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,"Botanical Name: Capsicum annuum L.(Family: Solanaceae),; is obtained by solvent extraction of paprika, Capsicum annuum L.(family: Solanaceae)","HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark red oil  liquid,"OLEORESIN PAPRIKA manufactured for AWA Bio, used in savory processed food solutions.",AWA Bio,,
128,Rosemary oleoresin (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Rosemary; Rosemary extract is obtained by solvent extraction of dried,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Greenish brown coloured viscous liquid.,"Rosemary oleoresin manufactured for AWA Bio, used in savory& processed food solutions, anti-oxidant.",AWA Bio,,
129,OLEORESIN THYME (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: OLEORESIN THYME; is made by solvent extraction of the dried,"HDPE Jerry Cans,Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brown pourable liquid .,"OLEORESIN THYME manufactured for AWA Bio, used in savory& processed food solutions, anti-oxidant.",AWA Bio,,
130,OLEORESIN TURMERIC (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Curcuma longa L. ( Family:Zingiberaceae); Solvent extraction of the dried rhizomes of Curcuma longa L.,"HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Yellow to Orange viscous liquid.,"OLEORESIN TURMERIC manufactured for AWA Bio, used in savory&processed food solutions.",AWA Bio,,
131,OLEORESIN WHITE PEPPER (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Piper nigrum L. (Family: Piperaceae).; Solvent extraction of the white pepper prepared from ripe pepper berries by disintegration of,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light yellowish brown liquid.,"OLEORESIN WHITE PEPPER manufactured for AWA Bio, used in savory& processed food solutions,.",AWA Bio,,
132,Oleoresin Black Pepper (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Piper nigrum L. (Family: Piperaceae).; is obtained by solvent extraction of the dry unripe berries of Piper nigrum L.,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Olive Green coloured viscous Product,"Oleoresin Black Pepper manufactured for AWA Bio, used in savory& processed food solutions.",AWA Bio,,
133,Oleoresin Fennel (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Fennel; is obtained by solvent extraction of seeds of cultivated variety,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark Liquid with greenish tint.,"Oleoresin Fennel manufactured for AWA Bio, used in savory& processed food solutions.",AWA Bio,,
134,Oleoresin Basil (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: BASIL,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark greenish brown viscous liquied .,"Oleoresin Basil manufactured for AWA Bio, used in savory&processed food solutions,anti-oxidant.",AWA Bio,,
135,Oleoresin Capsicum (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Capsicum annuum L.or Capsicum frutescens L. (Family: Solanaceae); Solvent extraction of the dried pods of Indian red chillies,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark red liquid,"Oleoresin Capsicum manufactured for AWA Bio, used in savory processed food solutions.",AWA Bio,,
136,OLEORESIN CARDAMOM (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Elettaria cardamomum Maton (Family: Zingiberaceae).; is obtained by solvent extraction of the seeds of Elettaria,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Olive green oily liquid,"OLEORESIN CARDAMOM manufactured for AWA Bio, used in savory& processed food solutions.",AWA Bio,,
137,OLEORESIN CELERY (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Apium graveolens L.(Family :  Umbelliferae); Solvent extraction of the dried seeds,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light olive green oily liquid.,"OLEORESIN CELERY manufactured for AWA Bio, used in savory& processed food solutions.",AWA Bio,,
138,Oleoresin Cinnamon (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Cinnamomum cassi a blume/Naes L. (Family: Lauraceae) .; is made by solvent extraction of the dried bark of Cinnamomum cassia Nees/Blume (family:,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brown liquid.,"Oleoresin Cinnamon manufactured for AWA Bio, used in savory& processed food solutions..",AWA Bio,,
139,Oleoresin Clove (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,"Botanical Name: Syzygium aromaticum L.(Family: Myrtaceae).; is obtained by solvent extraction of dried clove bud, Syzygium","HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Brown liquid,"Oleoresin Clove manufactured for AWA Bio, used in savory& processed food solutions.",AWA Bio,,
140,Oleoresin Coriander (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Coriandrum sativum L.(Family :  Umbelliferae); Solvent extraction of the dried seeds,"HDPE Jerry Cans, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Yellowish brown oily liquid.,"Oleoresin Coriander manufactured for AWA Bio, used in savory& processed food solutions.",AWA Bio,,
141,Oleoresin Cumin (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Cuminum Cyminum  (Family: Umbelliferae ).; Solvent extraction of dried ripe fruit (Seed).,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brownish Green Liquid,"Oleoresin Cumin manufactured for AWA Bio, used in savory& processed food solutions..",AWA Bio,,
142,Fenugreek Oleoresin ws (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,"Botanical Name: Trigonella f oenum –graecum L .(family: Papilionaceae); is obtained by solvent extraction of roasted seeds of fenugreek, Trigonella foenum","HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brown Thick liquid,"Fenugreek Oleoresin ws manufactured for AWA Bio, used in savory& processed food solutions.",AWA Bio,,
143,OLEORESIN GINGER (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Zingiber officinale Rosc. (Family: Zingiberaceae).; is obtained by solvent extraction of dried rhizomes of,"HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brown viscous liquid.,"OLEORESIN GINGER manufactured for AWA Bio, used in savory& processed food solutions.",AWA Bio,,
144,Mace Oleoresin (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Mace Oleoresin; is obtained by solvent extraction of dried reticulated aril,HDP / Aluminium Container,"Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,"Brownish red, free flowing liquid.","Mace Oleoresin manufactured for AWA Bio, used in savory&processed food solutions.",AWA Bio,,
145,Oleoresin Nutmeg (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Myristica fragrans Houtt. (Family: Myristicaceae).; Solvent extraction of the dried seeds,"HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light amber to reddish brown liquid with,"Oleoresin Nutmeg manufactured for AWA Bio, used in savory& processed food solutions.",AWA Bio,,
146,OLEORESIN OREGANUM (Oleoresins).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Origanum vulgar; Solvent extraction of the dried rhizomes,"HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brownish green pourable liquid.,"OLEORESIN OREGANUM manufactured for AWA Bio, used in savory&processed food solutions,anti-oxidant.",AWA Bio,,
147,Celery Seed Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Celery; is obtained by steam distillation of the seeds of,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Yellowish-brown liquid,"Celery Seed Oil manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
148,CINNAMON LEAF OIL (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Cinnamon leaf oil; Steam distillation of the cinnamon leav es.,"HDPE Jerry Cans, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Pale yellow oily liquid,"CINNAMON LEAF OIL manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
149,CLOVE LEAF OIL (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Clove Leaf oil; Steam distillation of the clove leaves.,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Colorless to yellow oily liquid,"CLOVE LEAF OIL manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
150,Coriander Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Coriander oil; Steam distillation of the Coriander Seed .,"HDPE Jerry Cans, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,"Colourless to pale yellow, mobile liquid SOP/","Coriander Oil manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
151,CUMIN OIL (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Cumin oil; Steam distillation of the  Cumin Seed .,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Free flowing liquid colourless to pale,"CUMIN OIL manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
152,Dill Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,steam distillation of the dried seed,"HDPE Jerry Cans, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Colorless-Yellow.,"Dill Oil manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
153,EUGENOL (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Syzygium aromaticum L.(Family: Myrtaceae).; fractional distillation of Clove leaf oil (Syzygium aromaticum,"HDPE Jerry Cans, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Colorless to pale yellow liquid,"EUGENOL manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
154,GARLIC Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Allium sativum L. (Family : Liliaceae); Proportionate blending of the essential oil with suitable additive.,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Pale yellow liquid..,"GARLIC Oil manufactured for AWA Bio, used in savory,processed food solutions.",AWA Bio,,
155,Ginger Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Zingiber officinale Rosc. (Family: Zingiberaceae).; Steam distillation of the dried Ginger,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Liquid,"Ginger Oil manufactured for AWA Bio, used in flavors,cosmetics.",AWA Bio,,
156,Mace OIL (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Mace oil; is obtained by steam distillation of the dried reticulated aril of,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Colorless to  pale  yellow oil,"Mace OIL manufactured for AWA Bio, used in flavors,cosmetics.",AWA Bio,,
157,MUSTARD Flavor (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Brassica juncea Forge (Family: Cruciferae); Proportionate blending of the essential oil with suitable additive.,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Pale yellow liquid.,"MUSTARD Flavor manufactured for AWA Bio, used in savory& processed food solutions,flavors.",AWA Bio,,
158,Nutmeg Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Myristica fragrans Houtt. (Family: Myristicaceae).; Steam distillation of the dried Nutmeg,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Almost colourless to pale yellow liquid,"Nutmeg Oil manufactured for AWA Bio, used in flavors,cosmetics.",AWA Bio,,
159,Onion Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Allium cepaL. (Family: Liliaceae); Proportionate blending of the essential oil with suitable emulsifier.,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light yellow oily liquid.,"Onion Oil manufactured for AWA Bio, used in savory,processed food solutions.",AWA Bio,,
160,Oregano Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Oreganum Vulgare L. (Family: Labiatae); Steam distillation of the dried leaves,"HDPE Jerry,Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light Yellow oily liquid.,"Oregano Oil manufactured for AWA Bio, used in flavors,cosmetics.",AWA Bio,,
161,Rosemary Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Rosemary; Steam distillation of the  dried leaves of,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Pale  yellow liquid.,"Rosemary Oil manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
